
****************************** FastFind 2.2 (c)FastFrench 2013 ********
		Started  Thu Jul 16 17:44:16 2015

             1.374mS|ChangeMode(231) => m_bDebugGraphique=1, m_DebugModeTxt=  E3
            62.163µS|FFGetPixel(x:1538, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1539, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            62.163µS|FFGetPixel(x:1540, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            62.163µS|FFGetPixel(x:1541, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1542, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1543, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1544, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1545, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            62.163µS|FFGetPixel(x:1546, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1547, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1548, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1549, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1550, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1551, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1552, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            67.866µS|FFGetPixel(x:1553, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            93.530µS|FFGetPixel(x:1554, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1555, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1556, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1557, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1558, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1559, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1560, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1561, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1562, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1563, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1564, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1565, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1566, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1567, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1568, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
           704.893µS|FFGetPixel(x:1569, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            88.967µS|FFGetPixel(x:1570, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            63.874µS|FFGetPixel(x:1571, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1572, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            59.311µS|FFGetPixel(x:1573, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            66.725µS|FFGetPixel(x:1574, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            59.311µS|FFGetPixel(x:1575, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.741µS|FFGetPixel(x:1576, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            59.311µS|FFGetPixel(x:1577, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            59.311µS|FFGetPixel(x:1578, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            59.311µS|FFGetPixel(x:1579, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            59.311µS|FFGetPixel(x:1580, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            59.311µS|FFGetPixel(x:1581, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            59.311µS|FFGetPixel(x:1582, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.741µS|FFGetPixel(x:1583, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.741µS|FFGetPixel(x:1584, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
           131.169µS|FFGetPixel(x:1585, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            65.585µS|FFGetPixel(x:1586, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            59.882µS|FFGetPixel(x:1587, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            66.155µS|FFGetPixel(x:1588, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            59.882µS|FFGetPixel(x:1589, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
